uid,sid
0,13163
0,4200
0,4200
0,4380
0,22492
0,15813
1,7033
1,23534
1,8561
1,21464
2,22510
2,22510
2,5560
2,7689
3,18970
3,10660
3,5267
3,21341
4,8660
4,8660
4,17617
4,17617
5,21707
5,8422
5,17821
5,22579
6,229
6,229
6,18752
6,24649
7,13862
7,13862
7,18496
7,15542
8,23972
8,15308
8,20500
8,20500
8,17665
9,24586
9,24586
9,1044
9,4888
10,9974
10,4410
10,4137
10,4410
11,19370
11,2283
11,6293
11,1564
12,6185
12,16167
12,16673
12,16673
12,2517
13,23013
13,17137
13,1310
13,11059
14,6928
14,6928
14,6928
14,6928
15,15951
15,15951
15,21722
15,19543
15,11649
16,1172
16,7541
16,13113
16,15792
17,13106
17,4035
17,12717
17,8081
17,4422
17,16452
17,5115
18,24829
18,21263
18,24829
18,21263
18,24100
18,4844
18,16739
18,9513
19,19275
19,16128
19,7537
19,7537
20,19226
20,14139
20,13185
20,15988
21,11340
21,17636
21,15880
21,8212
21,11444
21,13122
22,14544
22,7544
22,1219
22,1499
23,3425
23,18872
23,23360
23,20580
23,176
23,19246
24,11427
24,4735
24,19537
24,8692
25,20333
25,20333
25,17884
25,10634
25,23043
25,7905
25,10256
25,15319
26,11663
26,11663
26,20130
26,6441
26,9997
26,1917
27,22572
27,14545
27,22572
27,14545
27,17369
27,3664
28,15835
28,13935
28,7639
28,22129
29,14696
29,490
29,8848
29,13121
29,8848
29,13121
30,14988
30,6120
30,13611
30,14835
31,9867
31,4422
31,13217
31,1158
31,19208
31,23067
32,17739
32,23378
32,17739
32,23378
33,1516
33,10861
33,21272
33,3921
33,15697
33,23762
34,381
34,381
34,22159
34,19776
34,16899
34,3549
34,13044
34,11267
35,23108
35,23108
35,20637
35,5894
35,20637
35,5894
35,4898
35,18961
35,20938
36,7495
36,7495
36,6601
36,22558
37,15402
37,21524
37,12418
37,4000
37,2690
37,20285
37,3226
38,10375
38,4011
38,16728
38,2318
39,4138
39,24523
39,24523
39,17135
39,17135
40,2958
40,17867
40,11427
40,6624
41,2999
41,23909
41,20784
41,14322
41,9372
42,13516
42,17136
42,8657
42,24700
43,12176
43,12176
43,11433
43,24074
44,14783
44,13737
44,17644
44,22708
45,9161
45,20199
45,7677
45,150
45,150
45,11322
46,15510
46,18148
46,18148
46,91
47,1515
47,15804
47,4044
47,16058
47,7011
47,257
47,6333
47,14054
47,18698
47,5055
47,11966
47,2420
47,2903
47,12525
47,8912
47,20520
48,2336
48,9741
48,21552
48,9741
49,701
49,10302
49,15266
49,10867
49,21064
49,7300
49,13944
49,2193
49,15242
49,12132
49,20588
50,21487
50,21487
50,2041
50,1744
50,1447
50,24389
50,858
50,7838
51,4547
51,15426
51,15900
51,19927
51,22136
51,20608
52,23973
52,23805
52,12270
52,3909
53,9932
53,9932
53,10440
53,21064
53,4659
54,2807
54,18848
54,20349
54,23731
54,4380
54,12794
54,17975
54,12577
55,15058
55,11190
55,16777
55,5047
56,6975
56,16965
56,2837
56,11494
56,3491
56,8767
56,11485
56,15261
56,23261
56,24870
57,1598
57,1598
57,20130
57,19960
58,22310
58,6660
58,17939
58,23369
59,14556
59,15002
59,20306
59,4066
60,15228
60,10190
60,10190
60,1961
60,24509
60,24687
60,7072
60,881
61,16715
61,10006
61,11894
61,11894
61,1744
61,4372
62,3256
62,3473
62,3473
62,9870
62,13899
62,7979
62,3803
62,21888
63,2352
63,7453
63,20593
63,15865
63,20678
63,8311
63,8311
63,14254
64,21423
64,9901
64,9901
64,13995
65,11515
65,6285
65,3631
65,1986
65,21051
65,12535
65,8929
65,2120
65,12418
65,2817
65,4000
65,21447
65,4545
65,22078
66,12810
66,13537
66,3421
66,3014
66,16144
66,8104
66,10237
66,11022
66,6650
67,23038
67,23038
67,4380
67,13163
68,24397
68,7475
68,14557
68,1641
69,4105
69,6410
69,10099
69,6410
69,10099
69,1564
69,18141
69,13935
69,6875
69,2829
70,20555
70,9193
70,19249
70,14565
71,7373
71,12389
71,7477
71,4396
71,551
71,4396
71,551
71,5510
71,11767
71,23036
71,18590
71,18720
71,16260
71,10599
71,4063
71,662
71,15067
71,17974
71,7912
71,22687
71,22687
71,14787
71,9078
71,4623
71,10249
71,6652
71,255
71,5709
71,5709
71,17049
71,18288
71,7819
71,20762
71,24337
71,3388
71,23051
71,18148
71,5023
71,23051
71,18148
71,5023
71,13973
71,14824
71,19451
71,91
71,5815
71,4848
71,4369
71,5743
71,11480
71,19316
71,14649
71,12202
71,1117
71,23764
71,3285
71,9843
71,7587
71,5732
71,15014
71,5743
71,24429
71,402
71,17041
71,23051
71,5741
71,23051
71,5741
71,23443
71,7412
71,12774
71,18251
71,18251
71,4781
71,15059
71,4106
71,1278
71,13952
71,13651
71,18145
71,4702
71,10487
71,13551
71,24545
71,2994
71,2994
71,1701
71,20697
71,2994
71,2994
71,1701
71,20697
71,12563
71,2590
71,13742
71,7665
71,3970
71,20481
71,3752
71,523
71,23051
71,23051
71,20667
71,6134
71,17325
71,17325
71,359
71,13790
71,10440
71,14737
71,18937
71,8811
71,9084
71,5027
71,13508
71,24716
71,11611
71,1664
