uid,sid
0,369
0,9970
0,16409
0,2225
1,8099
1,10840
1,12882
1,5803
2,17050
2,2082
2,20006
2,6808
3,15781
3,10099
3,8743
3,1549
4,20376
4,5933
4,13745
4,20222
4,6755
5,8930
5,15011
5,9736
5,7114
6,5390
6,20443
6,2862
6,10783
6,1849
7,15045
7,16764
7,8794
7,9898
7,18565
7,16970
7,891
7,7435
8,1975
8,1774
8,2498
8,1193
9,11118
9,13807
9,17800
9,9328
9,18187
9,16028
10,5565
10,7989
10,11248
10,20526
11,6690
11,18396
11,19744
11,351
12,1349
12,18110
12,11343
12,12899
12,1447
12,1255
13,5985
13,4723
13,9461
13,17805
14,13226
14,1896
14,8933
14,19334
14,4493
14,15658
14,11308
14,9895
15,16468
15,15811
15,8211
15,3078
15,17689
15,15915
15,20048
15,13437
16,17101
16,123
16,19730
16,11626
17,17485
17,17852
17,8134
17,18157
17,20618
17,8903
17,1485
17,20059
17,6042
17,19324
17,15357
17,5887
17,20303
17,16132
17,13648
17,17776
17,10829
17,18642
17,19359
17,3876
17,4813
17,4561
17,16327
17,20042
18,19289
18,20332
18,12640
18,9839
18,6941
18,15865
18,4344
19,15488
19,12470
19,4696
19,6580
19,19123
20,1016
20,7359
20,16455
20,16455
21,20564
21,15622
21,670
21,10000
22,4345
22,4539
22,9790
22,210
23,11868
23,9006
23,11488
23,2275
23,18555
23,11488
23,9554
23,4083
24,8892
24,18528
24,14167
24,11089
24,7868
24,9463
24,5070
24,19794
25,4058
25,5131
25,16315
25,4147
25,3550
25,15089
25,5116
25,9461
25,9217
25,19113
25,7856
25,19670
26,13146
26,20083
26,19994
26,20569
27,5298
27,294
27,13514
27,3712
28,16162
28,5584
28,16156
28,5016
28,11904
28,5932
28,12450
28,9098
28,18402
28,4090
28,5298
28,10335
28,3712
29,11974
29,10145
29,20674
29,14772
30,11847
30,8911
30,11582
30,7610
31,19058
31,16334
31,11933
31,13702
31,50
31,9182
31,9362
31,13561
31,20236
31,6012
32,12422
32,11512
32,16249
32,19794
32,20153
33,5298
33,5298
33,5298
33,16761
33,3712
34,3970
34,147
34,5234
34,7781
34,5330
34,4251
34,17776
34,2590
34,11847
34,15622
35,18956
35,15659
35,14480
35,12260
35,15612
36,4694
36,16854
36,14592
