uid,sid
0,4067
0,4067
0,763
0,306
1,101
1,101
1,537
1,1072
2,2148
2,6422
2,1776
2,1776
3,5596
3,3937
3,5110
3,2232
3,108
3,817
3,4892
3,5608
4,3639
4,3569
4,5977
4,3164
5,4911
5,4636
5,3416
5,3651
6,5990
6,2154
6,2162
6,5350
7,1758
7,217
7,3094
7,5205
7,60
7,2572
7,2062
7,4587
7,763
7,2256
7,2256
7,5930
7,4692
7,4318
7,5215
7,5215
7,5215
7,2273
7,4148
7,3609
7,4463
7,6422
7,2559
8,5423
8,2081
8,4745
8,4132
9,101
9,101
9,4649
9,1477
9,1041
10,3196
10,6387
10,3260
10,5166
10,6049
11,2334
11,4168
11,6470
11,4397
11,3805
11,2571
11,210
11,4113
11,113
11,3791
11,2200
11,2649
11,4544
11,3546
11,2638
11,5262
11,4439
11,1386
11,4636
11,2877
12,3498
12,1812
12,1234
12,109
13,5358
13,6180
13,2334
13,4492
14,4845
14,3546
14,4390
14,4390
15,3286
15,4946
15,5977
15,3609
16,3789
16,1417
16,5107
16,5107
17,3213
17,1613
17,554
17,2517
18,5869
18,3546
18,3546
18,2621
19,4046
19,6246
19,5104
19,821
19,660
19,5124
19,6460
19,47
19,1198
20,2675
20,1371
20,3213
20,3213
21,3684
21,1199
21,629
21,5909
22,5676
22,2971
22,2575
22,6309
22,1812
22,830
22,5892
22,4796
23,1477
23,1387
23,2369
23,6589
24,3164
24,1477
24,1477
24,3900
25,4043
25,4248
25,847
25,847
25,4655
26,79
26,5676
26,1471
26,101
26,101
26,86
27,2246
27,5215
27,900
27,3274
28,1062
28,5867
28,1477
28,1477
29,3546
29,3546
29,1511
29,1511
30,3200
30,3200
30,5919
30,3947
31,663
31,6410
31,5816
31,2115
31,6030
31,6030
31,4198
31,6524
31,399
31,1315
31,1315
31,5096
32,3546
32,3546
32,3546
32,3546
32,132
33,6528
33,5597
33,1502
33,2654
34,6003
34,4673
34,2156
34,1062
34,3900
35,5667
35,6107
35,1619
35,1619
35,1419
35,4786
35,3141
35,1090
35,237
36,2867
36,142
36,816
36,816
36,2276
36,112
36,1685
36,996
36,1741
36,1048
37,348
37,348
37,6528
37,5295
38,1230
38,4185
38,3839
38,1419
38,1419
38,1766
38,2447
38,6192
38,4170
38,1190
39,5162
39,820
39,3900
39,6083
39,5922
39,1502
39,4228
39,996
39,3392
40,3498
40,6193
40,5783
40,2724
41,1613
41,1613
41,3472
41,2984
41,6276
42,101
42,2181
42,1776
42,4673
43,5393
43,5393
43,1393
43,595
44,5121
44,5688
44,5359
44,1285
45,3833
45,1447
45,5185
45,2514
45,1394
45,5591
46,3576
46,389
46,402
46,3630
47,5333
47,217
47,2123
47,3968
48,3235
48,5950
48,5950
48,1726
49,5619
49,3498
49,3729
49,3729
50,1783
50,101
50,3719
50,6061
50,4481
51,817
51,817
51,6336
51,4949
52,1477
52,4774
52,2375
52,416
53,3729
53,5804
53,1659
53,1659
54,775
54,775
54,4654
54,1045
55,2645
55,2645
55,3465
55,505
56,869
56,869
56,101
56,775
57,2630
57,82
57,1782
57,4547
58,6003
58,663
58,3858
58,2675
58,3196
58,885
58,1785
59,6410
59,1384
59,3094
59,2357
59,4673
59,1753
59,2131
59,2496
59,2496
60,400
60,4278
60,53
60,852
60,104
61,395
61,1169
61,4181
61,5013
62,2527
62,2675
62,900
62,3546
63,3273
63,2069
63,3389
63,1776
63,3178
63,2945
64,817
64,4622
64,2334
64,5215
64,5215
64,543
64,5442
64,5397
64,1003
64,4270
64,6105
64,1068
64,2223
64,2223
64,3391
65,1985
65,1073
65,3789
65,1559
65,6011
65,5192
65,5414
65,4638
65,3276
65,5062
65,3612
65,2912
65,2390
65,3191
65,5013
65,6301
65,817
65,5215
65,1685
65,2334
65,1700
65,3250
65,2260
65,6191
65,4982
65,1018
65,3024
65,3024
66,3747
66,1748
66,891
66,3537
67,3754
67,3021
67,4505
67,5342
67,3769
67,3875
67,5539
67,3179
67,3673
67,4779
67,4661
67,2216
67,231
67,3329
67,1946
67,756
67,6077
67,32
67,2572
67,4628
67,4745
67,833
67,3720
67,3550
67,4740
67,2724
67,4149
67,5941
67,5994
67,4199
67,4243
67,2846
67,1676
67,4357
67,3092
67,3410
67,1777
67,3193
67,6336
67,692
67,5402
67,4981
67,1982
67,4011
67,4318
67,1100
67,228
67,1673
67,1729
67,5572
67,2833
68,1471
68,1417
68,3339
68,275
69,3868
69,3546
69,3546
69,3500
70,6265
70,5032
70,537
70,79
70,69
70,74
70,4181
70,4673
70,2446
70,5596
70,1667
70,3235
71,2496
71,2889
71,5566
71,5566
72,2101
72,1734
72,4620
72,3435
72,2074
72,2074
72,5938
72,229
72,2743
72,5140
72,1244
72,4242
72,3633
72,994
72,3563
73,394
73,3213
73,132
73,132
73,2645
73,2645
73,4690
73,4690
73,5076
73,730
73,5985
73,5303
74,1576
74,4089
74,5990
74,47
74,4549
74,5314
74,1589
75,3601
75,5722
75,5722
75,1419
75,1419
75,5788
76,2285
76,1856
76,1856
76,3434
76,2746
77,3649
77,5209
77,2033
77,4093
78,4982
78,1181
78,2059
78,5977
78,112
78,2039
78,12
78,775
78,5105
78,2237
78,683
78,4753
78,3516
78,215
79,3337
79,2148
79,2148
79,2148
80,3569
80,345
80,5722
80,3366
80,3697
81,3789
81,2680
81,1462
81,841
82,4464
82,2074
82,2074
82,5938
83,5110
83,4119
83,2663
83,2924
84,1745
84,2667
84,1812
84,6327
85,2033
85,2033
85,5110
85,4911
85,5262
85,2965
85,606
85,760
85,2767
85,2984
86,524
86,848
86,847
86,2657
86,719
86,4923
86,5593
86,2807
86,5605
87,3407
87,1294
87,3196
87,3887
88,104
88,1217
88,3754
88,283
88,5008
88,6271
88,451
88,6458
89,6422
89,6422
89,6422
89,1387
90,2922
90,6474
90,1985
90,348
90,1566
90,2079
90,780
90,2333
90,4654
90,900
90,4320
90,4673
90,1267
90,166
90,1994
90,2702
90,5272
90,4893
90,2518
90,5750
90,631
90,5394
90,3189
90,527
90,1703
90,4638
90,5397
90,4372
90,1929
90,3951
90,3520
90,5977
90,4259
90,439
91,6341
91,964
91,964
91,6220
91,5112
92,5965
92,2276
92,5210
92,5171
92,2364
92,2077
93,235
93,2455
93,683
93,3868
94,4796
94,4148
94,3090
94,3617
95,986
95,4470
95,4470
95,2390
96,6132
96,4226
96,3196
96,5345
97,2724
97,2724
97,1086
97,2471
97,2471
98,132
98,25
98,3232
98,5977
98,4959
98,2198
98,1741
98,1753
98,74
98,5022
98,3213
98,782
99,2059
99,1697
99,2033
99,2033
100,5676
100,3411
100,2706
100,4970
100,6003
100,1477
100,1484
101,2549
101,2229
101,235
101,2235
102,6493
102,3697
102,1371
102,3546
102,3546
102,3546
102,215
103,5135
103,1492
103,3355
103,2114
104,4261
104,3546
104,3546
104,3601
104,3617
104,613
105,4587
105,2479
105,132
105,132
105,132
106,3416
106,3416
106,5965
106,5965
107,437
107,5045
107,2965
107,287
107,6476
107,5068
107,6066
107,5324
107,6442
107,6442
107,1097
107,3746
108,2984
108,2984
108,3472
108,3416
108,5551
109,313
109,2186
109,763
109,4423
109,2143
109,2033
109,5290
109,6387
109,5219
109,4067
109,4067
109,1928
109,3927
110,4116
110,3365
110,1475
110,3039
111,663
111,79
111,112
111,5171
111,23
111,23
111,5215
111,5215
111,2393
111,2393
111,6528
111,2059
112,3546
112,900
112,101
112,101
112,101
112,921
112,3200
112,4009
113,1420
113,1929
113,3416
113,5237
113,217
113,217
113,2496
113,2496
113,6472
113,5776
113,1090
114,5924
114,1785
114,2340
114,2110
114,5743
114,921
114,319
114,3895
114,1052
114,3273
115,1856
115,2621
115,3601
115,2223
115,2223
116,1776
116,1776
116,2393
116,2393
117,4982
117,4982
117,235
117,1986
117,5085
117,1133
118,1788
118,1472
118,1401
118,4679
118,4679
118,2223
118,1610
118,2468
119,5892
119,62
119,3511
119,3509
120,3273
120,3273
120,3396
120,2837
121,2684
121,1246
121,2334
121,263
121,3546
121,1541
121,2829
121,2359
121,3657
121,583
121,583
121,4272
121,2390
121,2390
121,5315
121,1149
122,2190
122,964
122,1882
122,2223
123,5076
123,1985
123,5422
123,2020
123,110
123,1147
123,5560
123,4617
123,2143
123,240
123,900
123,2053
123,2039
123,4673
123,4673
123,55
123,55
123,5060
123,1255
123,2909
123,4796
123,2688
123,954
123,2033
123,1656
123,911
123,1697
123,1741
123,1741
123,2008
123,5822
123,4196
123,4196
123,4314
123,3146
123,2094
123,1149
123,1966
123,3149
123,26
124,234
124,850
124,112
124,1931
124,1703
124,4673
124,2493
124,4638
124,3799
124,2077
124,3356
124,293
124,5682
125,2158
125,6288
125,4911
125,4911
126,5688
126,2580
126,3076
126,4464
126,3252
126,6327
126,1393
126,4649
126,3235
127,1102
127,1102
127,104
127,2371
128,6327
128,4690
128,4690
128,1387
129,2984
129,2383
129,4481
129,3800
130,3416
130,980
130,3870
130,6327
130,1212
131,954
131,2662
131,900
131,1498
131,747
131,3607
131,543
131,3639
131,3196
131,2014
131,5343
131,1477
131,1477
131,6511
131,199
131,3763
131,4278
131,6254
131,5996
131,2971
131,2260
131,5813
131,4234
131,3146
131,3546
131,1237
132,5683
132,2688
132,2640
132,2640
132,4365
132,4365
132,2966
132,1606
132,1966
132,5309
132,1506
132,62
132,3416
132,2295
132,4410
133,2980
133,5560
133,4492
133,5358
133,5233
133,2461
133,4075
133,5722
133,4185
133,143
133,4163
133,2248
133,3339
133,2940
133,6388
134,437
134,3031
134,5676
134,5250
135,5676
135,4911
135,847
135,2733
135,1656
135,2984
136,4464
136,878
136,2666
136,101
136,267
136,267
137,4022
137,6384
137,5085
137,763
138,250
138,3754
138,2223
138,1502
139,2281
139,5781
139,991
139,2720
139,5215
139,5215
139,2485
139,3052
139,841
139,5315
139,1226
139,1312
140,2965
140,2029
140,6442
140,6442
141,986
141,5358
141,6305
141,101
142,4654
142,4654
142,1013
142,6336
143,6341
143,1400
143,3652
143,1178
144,1994
144,5783
144,1928
144,3776
145,71
145,874
145,5736
145,1815
145,4918
145,2598
145,5148
145,2276
145,2629
145,6386
145,555
145,6090
146,1994
146,1994
146,5076
146,3276
147,631
147,631
147,3213
147,5215
147,5131
147,2661
147,2107
147,5641
147,808
147,1805
147,2246
147,2246
147,683
148,4272
148,4649
148,4649
148,4644
148,2877
148,1579
148,169
148,2666
148,6318
148,4738
148,1910
148,225
148,1994
148,3546
148,3546
148,5262
148,1387
149,3737
149,5217
149,5922
149,3895
150,567
150,1149
150,1149
150,3321
151,2285
151,6442
151,6442
151,2148
152,5622
152,110
152,68
152,30
152,4177
152,4173
152,868
152,3702
152,1908
152,6212
152,356
152,623
153,5305
153,2085
153,505
153,504
154,615
154,1877
154,5677
154,2071
154,3843
154,6107
154,3336
154,679
154,2158
155,4804
155,1595
155,1595
155,6327
156,4492
156,6019
156,3805
156,2154
157,2126
157,5783
157,6471
157,5718
157,3732
157,5661
157,579
157,6073
157,4344
157,3546
157,3999
157,3868
157,5605
157,1833
157,1400
157,186
157,6090
157,4018
157,3141
158,2661
158,2661
158,1084
158,6527
158,132
158,222
158,222
158,101
158,3546
158,3546
159,1888
159,6589
159,6589
159,6589
159,5330
159,5745
159,4738
159,4832
160,3047
160,3047
